company,geo_point
"Marriott International, Inc","24.4701947,54.3699737"
AL QUA EDUCATION,"25.217753,55.2833988"
Al Raee Recruitment Services,"24.4790957,54.3833436"
Randstad,"25.0952301,55.1582248"
Sevis Facilities Management,"24.3230042,54.5289999"
WFC Holding,"24.4917239,54.3991896"
Anantara,"24.4479826,54.4390397"
AURIGA INTERNATIONAL MANAGEMENT CONSULTANTS,"24.4186615,54.4405936"
Al Reef,"24.460359399733548, 54.67374910437533"
Avanza Solutions,"24.8527151,67.0055063"
Dar Al Shifaa Hospital,"24.4784493,54.3793748"
J10 Consulting FZ LLE,
PINOCAFE,
Street Bites,
Al Ajwa General Trading Establishment,
Etihad Airways,
GEMS Education,
HAYS,
Hayatt Facilities Management LLC,
MEDCARE STAFFING COMPANY,
Mark Williams,
Medical Center in Alain,
NMC - Corporate,
Reliance HR Consultancy,
Response Plus Medical services,
Reyada Home Health Care Services,
Robert Walters,
SearchPlus,
Supportive Solutions Consultancy,
Thraa Capital Investment,
Ubisoft,
United Arab Emirates University,
AECOM,
AL FARES INTL TENTS,
AMTC LLC,
ARYANA CONTRACTING & GENERAL MAINTENANCE,
Al Ain English Speaking School (AAESS),
Al Bustan Medical Center LLC - Khalifa City A,
Al Fahim Group,
Al Gharbia Center For Men Care,
Al Ghazi,
Al Mulla Group,
Al Rabeeh School,
Al Waha Hygiene,
Al barakah holding,
Al meena Medical Center,
Annapurna Service Office,
Arab Monetary Fund,
Asmacs,
Atraf Rehabilitation center,
