"Marriott International, Inc","24.4701947,54.3699737"
AL QUA EDUCATION,"25.217753,55.2833988"
Al Raee Recruitment Services,"24.4790957,54.3833436"
Randstad,"25.0952301,55.1582248"
Sevis Facilities Management,"24.3230042,54.5289999"
WFC Holding,"24.4917239,54.3991896"
Anantara,"24.4479826,54.4390397"
AURIGA INTERNATIONAL MANAGEMENT CONSULTANTS,"24.4186615,54.4405936"
Al Reef,"24.460359399733548, 54.67374910437533"
Avanza Solutions,"24.8527151,67.0055063"
Dar Al Shifaa Hospital,"24.4784493,54.3793748"
